,DlyCalDt,Ticker,DlyRet,DlyCap
61,2021-07-06,AGM,-0.016392,93302.3
62,2021-07-06,AGM,-0.026817,901130.22
298,2021-07-06,BIO,-0.001506,3380209.04
299,2021-07-06,BIO,0.00102,16532832.8
585,2021-07-06,CWEN,-0.001983,870882.0
586,2021-07-06,CWEN,-0.000757,2159281.6
888,2021-07-06,GEF,-0.0154,1561729.82
889,2021-07-06,GEF,-0.008935,1269421.44
948,2021-07-06,GTN,-0.071744,153033.44
949,2021-07-06,GTN,-0.027766,2048308.63
980,2021-07-06,HEI,-0.004517,7648978.5
981,2021-07-06,HEI,-0.005954,10293901.28
1042,2021-07-06,HVT,-0.022999,54909.97
1043,2021-07-06,HVT,-0.018453,702301.23
1237,2021-07-06,LEN,-0.015386,27529120.8
1238,2021-07-06,LEN,-0.017452,3049934.47
1362,2021-07-06,MKC,-0.006095,21924714.15
1363,2021-07-06,MKC,-0.008196,1590240.11
1999,2021-07-06,STZ,-0.015587,5323987.19
2000,2021-07-06,STZ,-0.008469,38606874.46
2023,2021-07-06,TAP,-0.033265,11011437.54
2024,2021-07-06,TAP,0.020606,342592.8
2293,2021-07-06,WSO,-0.006805,1670960.76
2294,2021-07-06,WSO,-0.007067,9433194.93
2410,2021-07-07,AGM,0.02777,95893.31
2411,2021-07-07,AGM,-0.001024,900207.12
2647,2021-07-07,BIO,0.012807,3423498.56
2648,2021-07-07,BIO,0.00899,16681464.8
2934,2021-07-07,CWEN,0.008741,878494.0
2935,2021-07-07,CWEN,0.014767,2191168.0
3237,2021-07-07,GEF,0.012751,1581643.07
3238,2021-07-07,GEF,0.014563,1287908.16
3297,2021-07-07,GTN,-0.005183,152240.33
3298,2021-07-07,GTN,-0.022068,2003105.8
3329,2021-07-07,HEI,0.002907,7671210.75
3330,2021-07-07,HEI,0.006226,10357994.77
3391,2021-07-07,HVT,-0.00048,54883.59
3392,2021-07-07,HVT,0.003615,704840.28
3586,2021-07-07,LEN,0.023139,28166126.4
3587,2021-07-07,LEN,0.024917,3125928.89
3711,2021-07-07,MKC,0.001476,21957084.54
3712,2021-07-07,MKC,-0.002098,1586904.0
4348,2021-07-07,STZ,-0.01158,5262337.42
4349,2021-07-07,STZ,-0.010372,38206437.08
4372,2021-07-07,TAP,0.016724,11195596.53
4373,2021-07-07,TAP,-0.011713,338580.0
4642,2021-07-07,WSO,0.030964,1722699.72
4643,2021-07-07,WSO,0.030913,9724804.11
4759,2021-07-08,AGM,-0.032362,92790.0
4760,2021-07-08,AGM,-0.017125,884791.35
4996,2021-07-08,BIO,-0.002363,3415408.72
4997,2021-07-08,BIO,-0.00104,16664124.4
5283,2021-07-08,CWEN,-0.014967,865346.0
5284,2021-07-08,CWEN,-0.012687,2163369.6
5586,2021-07-08,GEF,-0.007722,1569429.61
5587,2021-07-08,GEF,-0.008715,1276684.08
5646,2021-07-08,GTN,-0.038648,146356.52
5647,2021-07-08,GTN,-0.026549,1949926.0
5678,2021-07-08,HEI,-0.013925,7564387.5
5679,2021-07-08,HEI,-0.00047,10353126.91
5740,2021-07-08,HVT,-0.012377,54204.31
5741,2021-07-08,HVT,-0.022334,689098.17
5935,2021-07-08,LEN,-0.035931,27154087.2
5936,2021-07-08,LEN,-0.039836,3001403.38
6060,2021-07-08,MKC,-0.012474,21683181.24
6061,2021-07-08,MKC,-0.005682,1577887.5
6697,2021-07-08,STZ,0.008384,5306459.22
6698,2021-07-08,STZ,-0.000308,38194659.51
6721,2021-07-08,TAP,-0.003025,11161728.21
6722,2021-07-08,TAP,0.011696,342540.0
6991,2021-07-08,WSO,-0.022149,1684544.4
6992,2021-07-08,WSO,-0.022642,9504616.14
7108,2021-07-09,AGM,0.024167,95032.43
7109,2021-07-09,AGM,0.032029,913130.52
7345,2021-07-09,BIO,0.00277,3424868.0
7346,2021-07-09,BIO,0.003672,16725311.24
7632,2021-07-09,CWEN,0.018792,881608.0
7633,2021-07-09,CWEN,0.016629,2199344.0
7935,2021-07-09,GEF,0.010151,1585360.21
7936,2021-07-09,GEF,0.019479,1301553.12
7995,2021-07-09,GTN,0.024033,149873.9
7996,2021-07-09,GTN,0.024545,1997787.82
8027,2021-07-09,HEI,0.019355,7710795.0
8028,2021-07-09,HEI,0.020453,10564878.82
8089,2021-07-09,HVT,0.028349,55740.94
8090,2021-07-09,HVT,0.037337,714827.21
8284,2021-07-09,LEN,0.004671,27280936.8
8285,2021-07-09,LEN,0.009401,3029619.13
8409,2021-07-09,MKC,0.004134,21688161.3
8410,2021-07-09,MKC,0.00088,1573144.82
9046,2021-07-09,STZ,0.002823,5321437.41
9047,2021-07-09,STZ,0.002995,38309070.19
9070,2021-07-09,TAP,0.008534,11256982.86
9071,2021-07-09,TAP,-0.006474,340322.4
9340,2021-07-09,WSO,0.006985,1696311.12
9341,2021-07-09,WSO,0.008276,9583278.21
9457,2021-07-12,AGM,-0.023596,92790.0
9458,2021-07-12,AGM,0.001617,914607.48
9694,2021-07-12,BIO,0.001348,3429483.52
9695,2021-07-12,BIO,-0.001763,16695832.56
9981,2021-07-12,CWEN,-0.007849,874688.0
9982,2021-07-12,CWEN,-0.010037,2177268.8
10284,2021-07-12,GEF,0.01725,1612707.74
10285,2021-07-12,GEF,0.015218,1321360.32
10344,2021-07-12,GTN,-0.042584,143491.71
10345,2021-07-12,GTN,0.002218,2002219.47
10376,2021-07-12,HEI,-0.020042,7556253.75
10377,2021-07-12,HEI,-0.032407,10222506.0
10438,2021-07-12,HVT,0.006271,56090.48
10439,2021-07-12,HVT,0.000237,714996.48
10633,2021-07-12,LEN,-0.002527,27211996.8
10634,2021-07-12,LEN,-0.003229,3019837.67
10758,2021-07-12,MKC,-0.004707,21586070.07
10759,2021-07-12,MKC,-0.006671,1562649.62
11395,2021-07-12,STZ,-0.005368,5292874.35
11396,2021-07-12,STZ,-0.005402,38102121.46
11419,2021-07-12,TAP,-0.006205,11187129.45
